Sw, kro, krw, Pc
0.7303908928572733, 0.3388543496914228, 0.0, 0.0011775496553571429
0.7403296491595999, 0.3458394488445212, 0.0, 0.0010439061267857141
0.7502544208599984, 0.3562995601656541, 0.0, 0.0008981853267857143
0.7602120591607052, 0.364775459657407, 0.0, 0.0008039591464285716
0.7701978115256867, 0.3736489702340886, 0.0, 0.00079973025
0.7801408077810281, 0.3844609072187463, 0.0, 0.0006753387214285713

0.0718304983155269, 0.0, 0.890634822828351, 0.00492232604464286
0.0819119587072253, 0.0, 0.872029361208137, 0.005436762803571429
0.0919333703535498, 0.0, 0.836443796304568, 0.005204293017857139
0.101972670464835, 0.0, 0.806523980295383, 0.005079499591071429
0.111951115524464, 0.0, 0.804164672165045, 0.00440006912678571
0.122022890813536, 0.0, 0.700511592178782, 0.00494210989285714
0.131984087905973, 0.0, 0.689368092836174, 0.00425279905714286
0.141983235184398, 0.0, 0.649303243825542, 0.00448964873035714
0.151943423562167, 0.0, 0.632437129677034, 0.00460313924464286
0.161983644770244, 0.0, 0.625456002775108, 0.004248769425
0.171997100935189, 0.0, 0.582780291169227, 0.00407613583928571
0.182004767665756, 0.0, 0.547531547433865, 0.00394113165
0.191992773610263, 0.0, 0.523964486787963, 0.00385569362142857
0.201986213526751, 0.0, 0.51353200432316, 0.0037411639125
0.211960936490254, 0.0, 0.492157224274507, 0.00359729957142857
0.221982400818213, 0.0, 0.480694722607006, 0.0036962128232142896
0.231942342424115, 0.0, 0.460612580634085, 0.00346847548928571
0.241938304404545, 0.0023053316697052, 0.428324916958642, 0.00340069240178571
0.251913541984437, 0.0036777523298177, 0.375152780901481, 0.00330374050714286
0.261881035364033, 0.0041226288615568, 0.363603709889611, 0.00313655383928571
0.27187768941478, 0.0047585108496733, 0.357497153689051, 0.00317697105
0.281836059444337, 0.0063033650033253, 0.343756316703565, 0.0030350861839285696
0.291780045169455, 0.0078982878552119, 0.333228065996943, 0.0028459696017857096
0.30176941085468, 0.0109128250883524, 0.332429900823181, 0.0029126415535714297
0.31172713262286, 0.0120349496991583, 0.331590710496626, 0.00278823407678571
0.321688482214766, 0.0142192862765235, 0.330614389053698, 0.0026726438142857098
0.331661246530547, 0.0168410809251293, 0.328669176046553, 0.00259867190892857
